item,itemLabel,position,positionLabel,start,psid
Q114107123,Mohamed Salem Ould Merzoug,Q56062123,Foreign Minister of Mauritania,2022-03-29,Q114107123-9a40f414-4d14-981b-d819-fc445a294394
Q114293058,Abdessalam Ould Mohamed Saleh,Q63976869,Minister of Energy and Oil,2022-04-01,Q114293058-1BD145CF-4631-48B2-982D-FB18B7DB06F2
Q114293062,Brahim Vall Ould Mohamed Lemine,Q114292693,Minister of National Education and Reform of Education System,2022-09-26,Q114293062-241AD157-C8C2-4B20-A6F0-2B1DBCFE8313
Q114293063,Cheikh Ahmedou Ould Ahmed Salem Ould Sidi,Q114293540,"Commissioner for Human Rights, Humanitarian Action, and Relations with Civil Society",2022-04-01,Q114293063-D92D19EB-15DB-4AC4-97F3-F925F23D642D
Q114293065,Dah Ould Sidi Ould Amar Taleb,Q114292685,Minister of Islamic Affairs and Original Education,2022-04-01,Q114293065-B96C84D0-0BCA-461F-8C6B-EBFAED593978
Q114293066,Dr. Coumba Ba,Q114292671,Minister Counsellor at the Presidency of the Republic,2022-04-01,Q114293066-9C9E87B9-6A1B-4336-B576-62CC7B13E050
Q114293067,Fatimetou Mint Mahfoudh Ould Khattri,Q114293567,Food Security Commissioner of Mauritania,2022-04-01,Q114293067-ED62AE41-7D0E-4277-B420-9D70A54757A1
Q114293069,Hanana Ould Sidi,Q114292691,Minister of National Defense,2022-04-01,Q114293069-23CDBFC2-DA25-4B74-B518-4B9562A200EA
Q114293072,Isselmou Ould Mohamed M'bady,Q99229078,Finance minister of Mauritania,2022-04-01,Q114293072-740A9F30-A0DF-45FD-B819-1093F5257C01
Q114293073,Khattar Ould Cheibani,Q114292697,Minister of Social Action,2022-04-01,Q114293073-C85C1FA7-D691-47BD-B7FE-D89E61BE9308
Q114293074,Lalya Ali Camara,Q114292680,Minister of Environment and Sustainable Development,2022-09-06,Q114293074-85D9C4A2-6BC9-4EEC-9681-1D1967C9234F
Q114293075,Lam Moctar Alhousseyni,Q114292672,Minister Secretary-General of Government,2022-09-26,Q114293075-B1DFBC53-4862-4541-A045-A16A9A73EF76
Q114293076,Lamrabott Ould Bennahi,Q114292698,"Minister of Trade, Industry, Handicrafts, and Tourism",2022-04-01,Q114293076-FB09D009-0F54-4897-8977-FFA3AF0D4F08
Q114293078,Mohamed Ahmed Ould Mohamed Lemine,Q114292701,Minister of the Interior and Decentralisation,2022-04-01,Q114293078-79B1E551-ED7D-4FA6-B86E-6D303DCF0982
Q114293080,Mohamed Lemine Ould Dhehby,Q114293227,Governor of the Central Bank of Mauritania,2022-03-31,Q114293080-3DEBF3FA-CCD5-4658-A8A3-41CEB692402C
Q114293081,Mohamed Mahmoud Ould Cheikh Abdoullah Ould Boya,Q114292687,Minister of Justice,2022-04-01,Q114293081-C56A0FD3-AB5A-4691-87FD-4BDFB4924000
Q114293083,Mohamed Ould Abdalahi Ould Ethmane,Q114292689,Minister of Livestock,2022-09-26,Q114293083-0A8275BE-EB9B-40FE-BB11-78002DFFFF80
Q114293084,Mohamed Ould Abedeen Ould Ameyev,Q114292682,Minister of Fishing and Maritime Economy,2022-04-01,Q114293084-52650797-6972-433B-A186-2CCFBE15D418
Q114293085,Mohamed Ould Soueidatt,Q114292676,"Minister of Culture, Youth, Sports and Relations with Parliament",2022-09-06,Q114293085-6AE249DF-B49F-4412-8F6F-3C0B8B1D773C
Q114293087,Moktar Ahmed Yedali,Q114292677,"Minister of Digital Transformation, Innovation, and Modernization of Administration",2022-09-06,Q114293087-B32D37B3-F916-4E40-B8B6-84A81FAE7FD2
Q114293088,Moktar Ould Dahi,Q112081177,Health minister of Mauritania,2022-04-01,Q114293088-154F3A35-28BB-4822-8594-D57099677159
Q114293090,Nany Ould Chrougha,Q114292681,Minister of Equipement and Transports,2022-09-06,Q114293090-63BEE585-4729-4223-9AC3-B4B88D96212D
Q114293090,Nany Ould Chrougha,Q114293597,Government Spokesperson of Mauritania,2022-09-06,Q114293090-39FA0324-CCB4-4314-A57C-481B71FC8B57
Q114293091,Niang Mamoudou,Q114292679,Minister of Employment and Vocational Training,2022-09-06,Q114293091-85C70EC8-BFA5-4951-84A6-59529E95658D
Q114293092,Ousmane Mamoudou Kane,Q114292678,Minister of Economic Affairs and Promotion of Productive Sectors,2022-04-01,Q114293092-F11A6A1B-F1F6-43A1-AFDD-E3B5B91B9FEF
Q114293093,Sidi Mohamed Ould Taleb Omar,Q114292699,Minister of Water and Sanitation,2022-04-01,Q114293093-DB370DFA-DD66-4D8C-913B-E7D55569AD61
Q114293094,Zeinebou Mint Ahmednah,Q114292695,Minister of Public Service and Labor,2022-09-26,Q114293094-171E9685-8067-43E5-8D57-4BEC606492D2
Q12194248,Naha Mint Mouknass,Q114292671,Minister Counsellor at the Presidency of the Republic,2022-04-01,Q12194248-413EECCD-C3F7-4136-87C3-8B44128CCD6C
Q1371357,Yahya Ould Ahmed El Waghef,Q114292675,Minister of Agriculture,2022-09-06,Q1371357-D4CB5A19-0638-476C-8EA1-1EA2C95A66B5
Q3318670,Mohamed Lemine Ould Aboye Ould Cheikh El Hadrami,Q114292683,Minister of Higher Education and Scientific Research,2022-04-01,Q3318670-ACC38756-1240-4F7D-9DF8-0669B92AD016
Q440509,Moulaye Ould Mohamed Laghdaf,Q114292674,Minister Secretary-General of the Presidency of the Republic,2022-09-06,Q440509-39004023-8BFF-419B-B005-ADF83CCC5135
Q5715910,Baba Ahmed Ould Sidi Mohamed,Q114292684,"Minister of Housing, Urbanism and Land Planning",2022-04-01,Q5715910-1BF4F8EC-6423-40C5-95FE-D95D3D651CE8
Q6891015,Mohamed Ali Ould Sidi Mohamed,Q114293591,General Representative for National Solidarity and Anti-Exclusion,2022-04-01,Q6891015-2FF2EFB7-FFBA-4E35-A7CE-A87C71B4F188
Q98137599,Mohamed Ould Bilal,Q30101469,Prime Minister of Mauritania,2020-08-06,Q98137599-669c0c06-4e6e-6408-cc2b-e4f469df6f47
